Name,Gender,Page Name,Page ID,Election,Party,Incumbent Status,Challenged in Primary,Challenged in General,Posts Collected,notes,entropy
Linda Wooten,F,Linda M Wooten for U.S. Senate,Linda-M-Wooten-for-US-Senate-100592344818530,Maine,Independent,0,yes,yes,,,
Danielle VanHelsing,F,Danielle Ravyn VanHelsing,RavynVanHelsing,Maine,Independent,0,yes,yes,,,
Dan Sullivan,M,Dan Sullivan,DanSullivanforAlaska,Alaska,Republican,6,no,yes,,,
Al Gross,M,Dr. Al Gross for US Senate,dralgrossak,Alaska,Independent,0,no,yes,,Endorsed by Alaska Democratic party,
Daniel McCarthy,M,Daniel McCarthy for US Senate,DemandDanielAZ,Arizona-Special,Republican,0,yes,yes,,,
Craig Brittain,M,Craig R. Brittain,brittainforsenate,Arizona-Special,Republican,0,yes,yes,,,
Martha McSally,F,Martha McSally,MarthaMcSally,Arizona-Special,Republican,2,yes,yes,,,
Mark Kelly,M,Captain Mark Kelly,CaptMarkKelly,Arizona-Special,Democrat,0,yes,yes,,,
Diana Bray,F,Diana Bray for Colorado,dianaforcolorado,Colorado,Democrat,0,yes,yes,,,
Joseph A. Camp,M,Joey Camp 2020,joeycamp2020,Colorado,Independent,0,no,yes,,"Also running for president, making a statement woo boy",
Margot Dupre,F,Margot for US Senate,Margot.for.US.Senate,Colorado,Republican,0,yes,yes,,,
Lorena Garcia,F,Lorena Garcia For Senate,lorenaforsenate,Colorado,Democrat,0,yes,yes,,,
Cory Gardner,M,Cory Gardner,Cory.Gardner.For.Senate,Colorado,Republican,6,yes,yes,,,
David Goldfischer,M,Dave Goldfischer for U.S. Senate,GoldfischerforColorado,Colorado,Democrat,0,yes,yes,,,
John Hickenlooper,M,John W. Hickenlooper,JohnHickenlooper,Colorado,Democrat,0,yes,yes,,small biz owner,
Gaylon Kent,M,Gaylon Kent For US Senate,GaylonForSenate,Colorado,Libertarian,0,no,yes,,,
Andrew Romanoff,M,Andrew Romanoff,Romanoff2020,Colorado,Democrat,0,yes,yes,,,
Stephany Rose Spaulding,F,Stephany Rose Spaulding for Senate,StephanyForCO,Colorado,Democrat,0,yes,yes,,,
Michelle Ferrigno Warren,F,Michelle Ferrigno Warren For United States Senate,MichelleForColorado,Colorado,Democrat,0,yes,yes,,,
Trish Zornio,F,Trish Zornio,TrishZornio2020,Colorado,Democrat,0,yes,yes,,,
Erik Underwood,M,Erik Underwood for Colorado,Erik4CO,Colorado,Democrat,0,yes,yes,,,
Chris Coons,M,Chris Coons,chriscoons,Delaware,Democrat,10,yes,yes,,,
Jess Scarane,F,Jessica Scarane,JessforDelaware,Delaware,Democrat,0,yes,yes,,,
Lauren Witzke,F,Lauren Witzke for Delaware,LaurenWitzkeforDE,Delaware,Republican,0,yes,yes,,,
James DeMartino,M,DeMartino For State Representative,VoteDeMartino,Delaware,Republican,0,yes,yes,,,
Mark Turley ,M,Mark Turley ,MarkTurley2020,Delaware,Independent,0,no,yes,,,
Shiva Ayyadurai,M,V.A. Shiva Ayyadurai,va.shiva.ayyadurai,Massachusetts,Republican,0,yes,yes,,,
Joe Kennedy III,M,Joe Kennedy III,JoeKennedyIII,Massachusetts,Democrat,0,yes,yes,,,
Ed Markey,M,Ed Markey,EdMarkeyforMA,Massachusetts,Democrat,7,yes,yes,,,
Kevin O'Connor,M,Kevin O'Connor for US Senate,KOCforSenate,Massachusetts,Republican,0,yes,yes,,,
Tina Smith,F,Tina Smith,TinaSmithMN,Minnesota,Democrat,3,yes,yes,,,
Steve Carlson,M,Democrat Steve Carlson for U.S Senator for 2020,Carlson2016,Minnesota,Democrat,0,yes,yes,,,
Paula Overby,F,Paula Overby for US Senate,PaulaForSenate,Minnesota,Democrat,0,yes,yes,,,
Rob Barrett Jr.,M,"Rob Barrett, Jr. for US Senate",RobBarrettforSenate,Minnesota,Republican,0,yes,yes,,,
Forest Hyatt,M,Hyatt for Senate,Hyatt4Senate,Minnesota,Republican,0,yes,yes,,,
Jason Lewis,M,Jason Lewis,LewisForMN,Minnesota,Republican,0,yes,yes,,,
