Average entropy for each pages posts controlling for date:
            name            | gender |          avg           
 Sara Gideon                | F      | 0.56803470642172034144
 Kris Kobach                | M      | 0.57914490562381698110
 Dwayne Stovall             | M      | 0.59746668599203881226
 Bill Hagerty               | M      | 0.59956174434231707257
 Michael LaPierre           | M      | 0.60334168095160929727
 Dave Lindstrom             | M      | 0.60728362833169582596
 Cynthia Lummis             | F      | 0.60880710428986950257
 Bryan Pruitt               | M      | 0.61595554984145695000
 Richard Dien Winfield      | M      | 0.62050499141956482500
 Cindy Hyde-Smith           | F      | 0.62195358603020060794
 John James                 | M      | 0.62585306206848222568
 Susan Wagle                | F      | 0.62854668467373727171
 Dan Sullivan               | M      | 0.63585222876004778897
 Roger Marshall             | M      | 0.64476536811912586597
 Diana Bray                 | F      | 0.64710387033006315000
 John Mues                  | M      | 0.64775846079189730950
 Mark Ronchetti             | M      | 0.64811044928298203404
 Trevor Fuller              | M      | 0.65209730425695435182
 Cal Cunningham             | M      | 0.65241350362479112089
 Manny Sethi                | M      | 0.65258947087046821031
 John Anthony Castro        | M      | 0.65520157442359208182
 Andrew Romanoff            | M      | 0.65568338199489765490
 Bradley Byrne              | M      | 0.65580940441745534141
 Allen Waters               | M      | 0.65855937501424965967
 Mary Jennings Hegar        | F      | 0.66397154447977005459
 Allen Whitt                | M      | 0.66811270268988452727
 Michelle Ferrigno Warren   | F      | 0.67310196837654806670
 R. Mark Armstrong          | M      | 0.67930955999788220000
 Tricia Flanagan            | F      | 0.68415576496737521134
 Lauren Witzke              | F      | 0.68632224667817365826
 Jeanne Shaheen             | F      | 0.68688014649583564279
 Paul John Frangedakis      | M      | 0.68736674561552095000
 Ricky Dale Harrington Jr.  | M      | 0.68780217140748918647
 Joshua Wheeler             | M      | 0.69242631180280977500
 Mark Kelly                 | M      | 0.69413187459821772113
 Usha Reddi                 | F      | 0.69956056403417860414
 Theresa Greenfield         | F      | 0.70501172789767567256
 Sharon Hudson              | F      | 0.70540935843293425000
 Barbara Bollier            | F      | 0.71622659868379246063
 Hirsh Singh                | M      | 0.72237660338929281728
 Doug Jones                 | M      | 0.72369652873803412196
 J.J. Stitt                 | M      | 0.72539578423416067753
 Dan Whitfield              | M      | 0.73018648156832526640
 Kelly Loeffler             | F      | 0.73169406208308431431
 Tina Smith                 | F      | 0.74156602712070751651
 Daniel McCarthy            | M      | 0.74172567825120836886
 Antoine Pierce             | M      | 0.74278954542063454900
 Matt Lieberman             | M      | 0.74413383252551701658
 Jim Inhofe                 | M      | 0.74623604527625282750
 Jason Lewis                | M      | 0.75838709868040430369
 Amanda Edwards             | F      | 0.76077370165786384900
 Jon Ossoff                 | M      | 0.76077719156354727697
 Amy McGrath                | F      | 0.76501954636003208407
 Willie Wilson              | M      | 0.76627909659065618226
 Paula Jean Swearengin      | F      | 0.77520904405454429800
 Cora Neumann               | F      | 0.77709589576670923344
 Elizabeth McLeod           | F      | 0.77724619270857883333
 Steve Daines               | M      | 0.78163919875390503351
 James Mackler              | M      | 0.78707897134109770003
 Jaime Harrison             | M      | 0.78851198346652932878
 Byron Bush                 | M      | 0.78866967314229477051
 Joni Ernst                 | F      | 0.79019956295322349360
 Jeff Sessions              | M      | 0.79328103883724753746
 Jess Scarane               | F      | 0.79425999307688841053
 Annie "Mama" Garcia        | F      | 0.80213671024421159240
 Madelyn Hoffman            | F      | 0.80225209636643860000
 Thom Tillis                | M      | 0.80587038885395775612
 Raphael Warnock            | M      | 0.81052076805019873333
 Kimberly Graham            | F      | 0.81234928203109533682
 Angie Philips              | F      | 0.81371679155169008519
 Cristina Tzintzún Ramirez  | F      | 0.81455211583444561669
 Abby Broyles               | F      | 0.81477349151978009395
 Michael K. Cooper          | M      | 0.81657030794228146313
 Sarah Riggs Amico          | F      | 0.81743445199837119379
 Lisa Savage                | F      | 0.81767209379622147525
 Roy Moore                  | M      | 0.81769888221094717579
 Lawrence Hamm              | M      | 0.82032835712547311283
 Shelley Moore Capito       | F      | 0.82193204472180366566
 Martha McSally             | F      | 0.82279614387882774368
 Eric Rothmuller            | M      | 0.82737191131348260000
 Kerry McKennon             | M      | 0.82974569877729575714
 Teresa Tomlinson           | F      | 0.83111757046118561943
 Elisa Martinez             | F      | 0.84093900885501335113
 Ed Markey                  | M      | 0.84250175830381481986
 David Perdue               | M      | 0.84357663601425960311
 Mick Rich                  | M      | 0.84498126892908093669
 Mike Broihier              | M      | 0.85326611921437104594
 Betsy Sweet                | F      | 0.85360220363619270288
 Justin O'Donnell           | M      | 0.85773875663594483615
 Paula Overby               | F      | 0.85820476648001617500
 Paul Romero                | M      | 0.86368985506446121459
 Erica D. Smith             | F      | 0.86406710233045775164
 Peggy Hubbard              | F      | 0.86610424307436752790
 Tom Cotton                 | M      | 0.87388325460581006591
 Chris Janicek              | M      | 0.89475230471210162500
 Elysabeth Britt            | F      | 0.89673173163765020455
 Ben Sasse                  | M      | 0.90135172621659616956
 Joe Kennedy III            | M      | 0.90428038324221527276
 Veronica Fernandez         | F      | 0.90730098361536760000
 Brian Matlock              | M      | 0.91189935081525090909
 Wesley Morgan              | M      | 0.91593839025246034377
 Danielle VanHelsing        | F      | 0.92183713516738344000
 Stephany Rose Spaulding    | F      | 0.94032083646965056837
 Charles Booker             | M      | 0.94456873200946214883
 Yana Ludwig                | F      | 0.95057108433151122695
 Doug Collins               | M      | 0.95597613069933410412
 Shannon Bray               | M      | 0.95981535869876236111
 David Weikle               | M      | 0.95986108702998943877
 Trish Zornio               | F      | 0.96070264461329453409
 Lorena Garcia              | F      | 0.96356463472539379536
 Chris Coons                | M      | 0.96827346385027983396
 Bill Cassidy               | M      | 0.97855021565052517264
 Alisha Shelton             | F      | 0.98303369924435501786
 Susan Collins              | F      | 0.98602573853536965857
 Eddie Mauro                | M      | 1.00320425418519305341
 Richard Ojeda              | M      |    1.00790960215668014
 Gavin Clarkson             | M      |    1.00810506764571697
 Gary Peters                | M      |    1.00951549045402639
 Wilmot Collins             | M      |    1.01404090544513303
 John Hickenlooper          | M      |    1.01641791542141023
 Sema Hernandez             | F      |    1.02671290282477363
 Ben Ray Luján              | M      |    1.03723607703643103
 Nancy Harris               | F      |    1.03745775376832334
 Cory Booker                | M      |    1.04179513508084494
 John Cornyn                | M      |    1.05714074507814067
 Lindsey Graham             | M      |     1.0886048480555807
 Bre Kidman                 | F      |     1.0900137612143238
 Jeff Merkley               | M      |    1.09435501516676317
 Erik Underwood             | M      | 1.11493148834508737500
 Dick Durbin                | M      |    1.15266393617568737
 Craig Brittain             | M      |    1.26684912121876299
 Tiffany Bond               | F      | 1.35666951983331070000
 Victor Hugo Harris         | M      |     1.3884853831298046
 Mitch McConnell            | M      |     1.4335889891296495
 Mike Workman               | M      | 1.51358559421210930000
 Maya Dillard Smith         | F      | 1.58275817503868800000
(161 rows)


Average entropy for each pages posts controlling for date and minimum reactions:
            name            | gender |          avg           
----------------------------+--------+------------------------
 Glen L. Neal, Jr.          | M      | 0.00000000000000000000
 Kevin O'Connor             | M      | 0.35363097860387152085
 Matt Innis                 | M      | 0.35669672177147297140
 Michael Franken            | M      | 0.37832090075234102220
 Rik Mehta                  | M      | 0.38197921807122927449
 Merav Ben-David            | F      | 0.38611782257203200469
 Doc Bolduc                 | M      | 0.39495265436287479415
 Aaron Pettigrew            | M      | 0.40799802025295335000
 Tom Tarter                 | M      | 0.43063064394691542285
 Natalie Rivera             | F      | 0.44052818180573713333
 Linda Wooten               | F      | 0.47930391403844720000
 Ross LaJeunesse            | M      | 0.48855274859843019258
 Mark Curran                | M      | 0.49028182445212739956
 Johnny Presley             | M      | 0.49810752153740091569
 Daniel Burke               | M      | 0.51085898919311701429
 Jon Henry                  | M      | 0.51395045990335236667
 Rob Barrett Jr.            | M      | 0.51679755723240890613
 Corky Messner              | M      | 0.51985390651388031864
 Arnold Mooney              | M      | 0.52531470232481057486
 Royce West                 | M      | 0.53334856953675337163
 Kris Kobach                | M      | 0.53631426205822136058
 Casey Chlebek              | M      | 0.54048724527883121200
 Jo Rae Perkins             | F      | 0.54685505745982300000
 Sara Gideon                | F      | 0.55446312049893694296
 Tommy Tuberville           | M      | 0.56883436120148535866
 Madelyn Hoffman            | F      | 0.58017022782945127500
 Duke Buckner               | M      | 0.59069060283310844765
 Dwayne Stovall             | M      | 0.59746668599203881226
 Bill Hagerty               | M      | 0.60036818003019546174
 Michael LaPierre           | M      | 0.60584915034125383811
 Susan Wagle                | F      | 0.61212156775237388563
 Bryan Pruitt               | M      | 0.61595554984145695000
 Richard Dien Winfield      | M      | 0.62050499141956482500
 Cindy Hyde-Smith           | F      | 0.62587708994849751812
 Cynthia Lummis             | F      | 0.63176397598402166424
 Dan Sullivan               | M      | 0.63208992935281553143
 Al Gross                   | M      | 0.63972546451567813219
 John Anthony Castro        | M      | 0.64417790529987775000
 Diana Bray                 | F      | 0.64710387033006315000
 Mark Ronchetti             | M      | 0.64811044928298203404
 Michelle Ferrigno Warren   | F      | 0.65071685962302193232
 Roger Marshall             | M      | 0.65194602624803232192
 Mary Jennings Hegar        | F      | 0.65452870361313190054
 Manny Sethi                | M      | 0.65539564483246804632
 Bradley Byrne              | M      | 0.65580940441745534141
 Hirsh Singh                | M      | 0.65669533801188890595
 Allen Waters               | M      | 0.66208524845738465663
 John James                 | M      | 0.66489297050770188697
 Allen Whitt                | M      | 0.66811270268988452727
 John Mues                  | M      | 0.67416106020773061763
 Jeanne Shaheen             | F      | 0.67455038581280749920
 Dave Lindstrom             | M      | 0.67457815034278362716
 Andrew Romanoff            | M      | 0.67786016169215090239
