Name,Gender,Page Name,Page URL,Election,Party,Incumbent Status,Challenged in Primary,Challenged in General,Posts Collected,Notes,
Brian Matlock,M,Matlock for Kansas,MatlockForSenate,Kansas ,Republican,0,Yes,Yes,,,
Steve Roberts,,n/a,n/a,Kansas ,Republican,0,Yes,Yes,,,
Bryan Pruitt,M,Brian Pruitt,pruitt4kansas,Kansas ,Republican,0,Yes,Yes,,,
Gabriel Mark Robles,,n/a,n/a,Kansas ,Republican,0,Yes,Yes,,Potential Page Unclear,
Susan Wagle,F,Susan Wagle for Kansas,SusanWagleforKansas,Kansas ,Republican,0,Yes,Yes,,,
Sarah Riggs Amico,F,Sarah Riggs Amico,SarahforGeorgia,Georgia,Democratic,0,Yes,Yes,,,
Akhenaten Amun,M,Amun for United States Senate from Georgia,amun4senate,Georgia,Democratic,0,Yes,Yes,,,
Marckeith DeJesus,M,(see notes),,Georgia,Democratic,0,Yes,Yes,,Personal Page ,
Maya Dillard Smith,F,Maya for Georgia,mayaforgeorgia,Georgia,Democratic,0,Yes,Yes,,,
James Knox,M,James Knox,knox4senate,Georgia,Democratic,0,Yes,Yes,,,
Jon Ossoff,M,Jon Ossoff,jonossoff,Georgia,Democratic,0,Yes,Yes,,,
Harold Shouse,,n/a,n/a,Georgia,Democratic,0,Yes,Yes,,,
Teresa Tomlinson,F,Teresa Tomlinson,TeresaPikeTomlinson,Georgia,Democratic,0,Yes,Yes,,,
Elaine Whigham Williams,,n/a,n/a,Georgia,Democratic,0,Yes,Yes,,,
David Perdue ,M,David Perdue,perduesenate,Georgia,Republican,6,Yes,Yes,,,
Douglas Allen Collins,M,Doug Collins,collinsleads,Georgia,Republican,0,Yes,Yes,,,
James Jackson,,n/a,n/a,Georgia,Republican,0,Yes,Yes,,,
Michael Jowers,M,(see notes),,Georgia,Republican,0,Yes,Yes,,Personal Page,
Matt Innis,M,"Matt Innis for US Senate, Inc.",MattInnisForSenate,Nebraska,Republican,0,Yes,Yes,,,
Chris Janicek,M,Janicek for Senate,janicekforsenate,Nebraska,Democrat,0,Yes,Yes,,,
Dennis Frank Macek,M,(see notes),,Nebraska,Democrat,0,Yes,Yes,,Personal Page,
Larry Marvin,M,(see notes),,Nebraska,Democrat,0,Yes,Yes,,Personal Page,
Angie Philips,F,Angie for Senate,AngieForNebraska,Nebraska,Democrat,0,Yes,Yes,,,
Ben Sasse,M,Ben Sasse,sassefornebraska,Nebraska,Republican,6,Yes,Yes,,,
Alisha Shelton,F,Alisha Shelton,SheltonforSenate,Nebraska,Democrat,0,Yes,Yes,,,
Dan Wik,M,Wik for Congress,wiksenate2020,Nebraska,Democrat,0,Yes,Yes,,,
Bill Cassidy,M,Bill Cassidy,billcassidy,Louisiana,Republican,6,,,,,
Antoine Pierce,M,Antoine Pierce,AntoinePierceForLouisiana,Louisiana,Democrat,0,,,,,
Jamar Myers-Montgomery,,n/a,n/a,Louisiana,Independant,0,,,,,
Doug Collins ,M,Doug Collins ,collinsleads,Georgia - Special,Republican,0,Yes,Yes,,,
Wayne Johnson,M,Wayne Johnson for US Senate,johnsonsenate,Georgia - Special,Republican,0,Yes,Yes,,,
Matt Lieberman,M,Matt Lieberman,LiebermanForGA,Georgia - Special,Democrat,0,Yes,Yes,,,
Kelly Loeffler ,F,Kelly Loeffler ,kellyloefflerga,Georgia - Special,Republican,1,Yes,Yes,,,
Ed Tarver ,,n/a,n/a,Georgia - Special,Democrat,0,Yes,Yes,,can't find website or fb page,
Raphael Warnock ,M,Reverend Raphael Warnock,reverendwarnock,Georgia - Special,Democrat,0,Yes,Yes,,,
Richard Dien Winfield,M,Richard Dien Winfield,richarddienwinfieldofficial,Georgia - Special,Democrat,0,Yes,Yes,,,
Wilmot Collins,M,Wilmot Collins for Senate,WilmotCollinsforSenate,Montana,Democrat,0,Yes,Yes,,,
Steve Daines,M,Steve Daines,SteveDainesforMontana,Montana,Republican,6,No,Yes,,Where-Is-Steve-Daines-1250928611659900,
Michael Knoles,M,Mike Knoles for Senate,MikeKnolesforSenate,Montana,Democrat,0,Yes,Yes,,,
John Mues,M,John Mues for Montana,MuesforMontana,Montana,Democrat,0,Yes,Yes,,,
Cora Neumann,F,Cora Neumann,CoraForMontana,Montana,Democrat,0,Yes,Yes,,,
Giovanni Haqani,M,(see notes),,New Mexico,Democrat,0,Yes,Yes,,Personal Page,
Ben Ray Luján,M,Ben Ray Luján,BenRayLujan,New Mexico,Democrat,0,Yes,Yes,,,
Andrew Perkins,,,n/a,New Mexico,Democrat,0,Yes,Yes,,facebook page deactivated perkinsforsenate,
Gavin Clarkson,M,Gavin Clarkson for Senate,GavinforNM,New Mexico,Republican,0,Yes,Yes,,,
Elisa Martinez,F,Elisa Martinez for New Mexico,elisafornm,New Mexico,Republican,0,Yes,Yes,,,
Rick Montoya,M,(see notes),,New Mexico,Republican,0,Yes,Yes,,Personal Page,Graphic Design is my passion
Mick Rich,M,Mick Rich,MickRich2020,New Mexico,Republican,0,Yes,Yes,,,
Mark Ronchetti,M,Mark Ronchetti,MarkRonchettiNM,New Mexico,Republican,0,Yes,Yes,,,
Louie Sanchez,M,Louie Sanchez For US Senate,pg/Louie-Sanchez-For-US-Senate-107013564156866,New Mexico,Republican,0,Yes,Yes,,,
Jeff Merkley,M,Jeff Merkley,JeffMerkleyOregon,Oregon,Democrat,12,No,Yes,,,
Socrateaz Neat Chi,,(see notes),,Oregon,Republican,0,Yes,Yes,,https://www.socrateaz.com,
Jo Rae Perkins,F,Perkins for Congress,PerkinsForUSSenate,Oregon,Republican,0,Yes,Yes,,,
Paul Romero,M,"Paul Joseph Romero Jr. for Congress, US Senator, Oregon",romero4oregon,Oregon,Republican,0,Yes,Yes,,,
Tiffany Bond,F,Tiffany Bond,bond4me,Maine,Independent,0,Yes,Yes,,,
Michael Bunker,,n/a,n/a,Maine,Democrat,0,Yes,Yes,,,
Susan Collins,F,Susan Collins,collins4senator,Maine,Republican,24,No,Yes,,,
Sara Gideon ,F,Sara Gideon,SaraGideonME,Maine,Democrat,0,Yes,Yes,,,
Bre Kidman,F,"Bre ""Bee Kay"" Kidman for U.S. Senate, 2020",BeeKay4ME,Maine,Democrat,0,Yes,Yes,,,
Ross LaJeunesse,M,Ross LaJeunesse for Maine,RossForMaine,Maine,Democrat,0,Yes,Yes,,,
Lisa Savage,F,Lisa Savage for US Senate,LisaForMaine,Maine,Green Independent,0,No,Yes,,,
Betsy Sweet,F,Betsy Sweet,betsysweetME,Maine,Democrat,0,Yes,Yes,,,
Linda Wooten,F,Linda M Wooten for U.S. Senate,Linda-M-Wooten-for-US-Senate-100592344818530,Maine,Independent,0,Yes,Yes,,,
Danielle VanHelsing,F,Danielle Ravyn VanHelsing,RavynVanHelsing,Maine,Independent,0,Yes,Yes,,,
David Maheny,,n/a,n/a,Alaska,Independent,0,No,Yes,,Personal Page,
Dan Sullivan,M,Dan Sullivan,DanSullivanforAlaska,Alaska,Republican,6,No,Yes,,,
Al Gross,M,Dr. Al Gross for US Senate,dralgrossak,Alaska,Independent,0,No,Yes,,Endorsed by Alaska Democratic party,
Ann Griffin,,n/a,n/a,Arizona-Special,Republican,0,Yes,Yes,,"No ballotpedia entry or facebook page, but news articles say she is running",
Daniel McCarthy,M,Daniel McCarthy for US Senate,DemandDanielAZ,Arizona-Special,Republican,0,Yes,Yes,,,
Craig Brittain,M,Craig R. Brittain,brittainforsenate,Arizona-Special,Republican,0,Yes,Yes,,,
Floyd Getchell,,n/a,n/a,Arizona-Special,Republican,0,Yes,Yes,,,
Martha McSally,F,Martha McSally,MarthaMcSally,Arizona-Special,Republican,2,Yes,Yes,,,
Josue Larose,,n/a,n/a,Arizona-Special,Republican,0,Yes,Yes,,"Larose is under investigation for over 2,000 counts of breaking election laws",
Mark Kelly,M,Captain Mark Kelly,CaptMarkKelly,Arizona-Special,Democrat,0,Yes,Yes,,,
Mohammad Arif,M,(see notes),,Arizona-Special,Democrat,0,Yes,Yes,,Personal Page,
Sheila Bilyeu,F,(see notes),,Arizona-Special,Democrat,0,Yes,Yes,,Personal Page,
Diana Bray,F,Diana Bray for Colorado,dianaforcolorado,Colorado,Democrat,0,Yes,Yes,,,
Joseph A. Camp,M,Joey Camp 2020,joeycamp2020,Colorado,Independent,0,No,Yes,,"Also running for president, making a statement woo boy",
Margot Dupre,F,Margot for US Senate,Margot.for.US.Senate,Colorado,Republican,0,Yes,Yes,,,
Lorena Garcia,F,Lorena Garcia For Senate,lorenaforsenate,Colorado,Democrat,0,Yes,Yes,,,
Cory Gardner,M,Cory Gardner,Cory.Gardner.For.Senate,Colorado,Republican,6,Yes,Yes,,,
David Goldfischer,M,Dave Goldfischer for U.S. Senate,GoldfischerforColorado,Colorado,Democrat,0,Yes,Yes,,,
John Hickenlooper,M,John W. Hickenlooper,JohnHickenlooper,Colorado,Democrat,0,Yes,Yes,,small biz owner,
Gaylon Kent,M,Gaylon Kent For US Senate,GaylonForSenate,Colorado,Libertarian,0,No,Yes,,,
Critter Milton,M,(see notes),,Colorado,Democrat,0,Yes,Yes,,Personal Page,
Andrew Romanoff,M,Andrew Romanoff,Romanoff2020,Colorado,Democrat,0,Yes,Yes,,,
Stephany Rose Spaulding,F,Stephany Rose Spaulding for Senate,StephanyForCO,Colorado,Democrat,0,Yes,Yes,,,
